,geoid,state,county,tract,block,lat,lng
0,421010125012002,42,101,012501,2002,39.96205829468887,-75.16727515065259
1,421010004042003,42,101,000404,2003,39.95380575093875,-75.1719465979244
2,421010024004006,42,101,002400,4006,39.93531924025564,-75.15848624937583
3,421010018002000,42,101,001800,2000,39.940803140194696,-75.16113887555757
4,421010005004006,42,101,000500,4006,39.95349693876615,-75.15812445634418
5,421010024004005,42,101,002400,4005,39.93654683947506,-75.15819967687321
6,421010024004005,42,101,002400,4005,39.93654683947506,-75.15819967687321
7,421010005004008,42,101,000500,4008,39.95213693128237,-75.15708024910589
8,421010024004006,42,101,002400,4006,39.9357697123634,-75.15825789788583
9,421010005003003,42,101,000500,3003,39.95121595468279,-75.15711804594409
10,421010125025003,42,101,012502,5003,39.95993008502855,-75.17094839688737
11,421010006001000,42,101,000600,1000,39.95000145898537,-75.15880188413432
12,421010369026008,42,101,036902,6008,39.954706324183554,-75.18584087251799
13,421010002002006,42,101,000200,2006,39.95500927908643,-75.15416017704369
14,421010024004001,42,101,002400,4001,39.93740845605161,-75.15801503560958
15,421010005004004,42,101,000500,4004,39.95320371794709,-75.15595336883311
16,421010002001003,42,101,000200,1003,39.956094274913255,-75.15761202649475
17,421010369026005,42,101,036902,6005,39.953910865727536,-75.18263123170513
18,421010018001018,42,101,001800,1018,39.9391694483671,-75.15800944694307
19,421010376002024,42,101,037600,2024,39.960560723083084,-75.15583268382736
20,421010001023002,42,101,000102,3002,39.95434068869817,-75.14433836663646
21,421010018001024,42,101,001800,1024,39.939870428219024,-75.15466196032764
22,421010024004006,42,101,002400,4006,39.936092432889055,-75.15829183346106
23,421010024004006,42,101,002400,4006,39.936092432889055,-75.15829183346106
24,421010131001010,42,101,013100,1010,39.96569712640769,-75.1533757144654
25,421010024004002,42,101,002400,4002,39.936363636290885,-75.15536275025366
26,421010001021008,42,101,000102,1008,39.95648480383237,-75.14777305551311
27,421010023002011,42,101,002300,2011,39.93529919433481,-75.16572622178207
28,421010024004001,42,101,002400,4001,39.93740845605161,-75.15801503560958
29,421010023002004,42,101,002300,2004,39.93454841341804,-75.15900811024704
30,421010002001011,42,101,000200,1011,39.954921301772536,-75.15735020575914
31,421010376002019,42,101,037600,2019,39.96064426273934,-75.1581839427782
